Nome Parlamentar	Partido	UF	Titular/Suplente/Efetivado	Endereço	Anexo	Endereço (continuação)	Gabinete	Endereço (complemento)	Telefone	Fax	Mês Aniversário	Dia Aniversário	Correio Eletrônico	Nome sem Acento	Tratamento	Profissões	Nome Civil
ABEL MESQUITA JR.	PMB	RR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	248	Brasília - DF - CEP 70160-900	3215-5248	3215-2248	03	29	dep.abelmesquitajr@camara.leg.br	ABEL MESQUITA JR.	Exmo. Senhor Deputado	Empresário	ABEL SALVADOR MESQUITA JUNIOR
ADALBERTO CAVALCANTI	PMB	PE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	402	Brasília - DF - CEP 70160-900	3215-5402	3215-2402	02	10	dep.adalbertocavalcanti@camara.leg.br	ADALBERTO CAVALCANTI	Exmo. Senhor Deputado	Administrador de Empresas	ADALBERTO CAVALCANTI RODRIGUES
ADELMO CARNEIRO LEÃO	PT	MG	S	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	231	Brasília - DF - CEP 70160-900	3215-5231	3215-2231	05	25	dep.adelmocarneiroleao@camara.leg.br	ADELMO CARNEIRO LEAO	Exmo. Senhor Deputado	Professor(a)	ADELMO CARNEIRO LEAO
ADELSON BARRETO	PTB	SE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	937	Brasília - DF - CEP 70160-900	3215-5937	3215-2937	09	22	dep.adelsonbarreto@camara.leg.br	ADELSON BARRETO	Exmo. Senhor Deputado	Jornalista,radialista	ADELSON BARRETO DOS SANTOS
ADEMIR CAMILO	PROS	MG	S	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	804	Brasília - DF - CEP 70160-900	3215-5804	3215-2804	05	30	dep.ademircamilo@camara.leg.br	ADEMIR CAMILO	Exmo. Senhor Deputado	Médico, Advogado	ADEMIR CAMILO PRATES RODRIGUES
ADILTON SACHETTI	PSB	MT	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	374	Brasília - DF - CEP 70160-900	3215-5374	3215-2374	02	05	dep.adiltonsachetti@camara.leg.br	ADILTON SACHETTI	Exmo. Senhor Deputado	Arquiteto	ADILTON DOMINGOS SACHETTI
AELTON FREITAS	PR	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	204	Brasília - DF - CEP 70160-900	3215-5204	3215-2204	12	15	dep.aeltonfreitas@camara.leg.br	AELTON FREITAS	Exmo. Senhor Deputado	Produtor Rural, Empresário, Engenheiro Agrônomo	AELTON JOSÉ DE FREITAS
AFONSO FLORENCE	PT	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	305	Brasília - DF - CEP 70160-900	3215-5305	3215-2305	10	15	dep.afonsoflorence@camara.leg.br	AFONSO FLORENCE	Exmo. Senhor Deputado	Professor de História, Servidor Público	AFONSO BANDEIRA FLORENCE
AFONSO HAMM	PP	RS	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	604	Brasília - DF - CEP 70160-900	3215-5604	3215-2604	04	25	dep.afonsohamm@camara.leg.br	AFONSO HAMM	Exmo. Senhor Deputado	Engenheiro Agrônomo	JOSÉ ALFONSO EBERT HAMM
AFONSO MOTTA	PDT	RS	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	711	Brasília - DF - CEP 70160-900	3215-5711	3215-2711	01	08	dep.afonsomotta@camara.leg.br	AFONSO MOTTA	Exmo. Senhor Deputado		AFONSO ANTUNES DA MOTTA
